state,measure_id,change_2016,change_2017,change_2018,change_2019,change_2020,change_2021,change_2022,change_2023
AK,H_CLEAN_HSP,3.0,-1.0,3.0,-4.0,4.0,-5.0,0.0,7.0
AK,H_COMP_1,9.0,-1.0,2.0,1.0,-2.0,0.0,0.0,3.0
AK,H_COMP_2,14.0,-3.0,-1.0,-1.0,4.0,-1.0,-2.0,2.0
AK,H_COMP_3,10.0,-4.0,4.0,-7.0,6.0,4.0,-15.0,2.0
AK,H_COMP_5,4.0,1.0,-1.0,-1.0,1.0,1.0,-3.0,0.0
AK,H_COMP_6,12.0,-10.0,0.0,0.0,6.0,-4.0,2.0,-4.0
AK,H_COMP_7,6.0,-3.0,2.0,2.0,-1.0,-2.0,0.0,-1.0
AK,H_HSP_RATING,10.0,-1.0,0.0,-7.0,11.0,-2.0,-2.0,3.0
AK,H_QUIET_HSP,0.0,-2.0,-2.0,3.0,1.0,4.0,-4.0,-2.0
AK,H_RECMND,2.0,0.0,6.0,-9.0,7.0,-6.0,2.0,5.0
AL,H_CLEAN_HSP,0.0,1.0,2.0,1.0,0.0,0.0,-6.0,0.0
AL,H_COMP_1,0.0,1.0,-1.0,1.0,-2.0,2.0,-1.0,-2.0
AL,H_COMP_2,0.0,0.0,-3.0,0.0,-1.0,0.0,-1.0,-1.0
AL,H_COMP_3,0.0,2.0,0.0,2.0,0.0,-1.0,-6.0,0.0
AL,H_COMP_5,-3.0,3.0,2.0,1.0,0.0,0.0,-6.0,-4.0
AL,H_COMP_6,2.0,0.0,2.0,-2.0,-2.0,2.0,0.0,-2.0
AL,H_COMP_7,-2.0,-1.0,1.0,2.0,1.0,0.0,-2.0,0.0
AL,H_HSP_RATING,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0
AL,H_QUIET_HSP,1.0,0.0,-2.0,-2.0,1.0,0.0,-1.0,-1.0
AL,H_RECMND,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,-2.0
AR,H_CLEAN_HSP,-1.0,2.0,0.0,3.0,-1.0,0.0,-8.0,2.0
AR,H_COMP_1,1.0,1.0,-1.0,0.0,1.0,0.0,-2.0,2.0
AR,H_COMP_2,1.0,-1.0,0.0,-2.0,2.0,0.0,-2.0,0.0
AR,H_COMP_3,0.0,2.0,2.0,0.0,0.0,-1.0,-6.0,3.0
AR,H_COMP_5,0.0,3.0,0.0,2.0,-4.0,0.0,-6.0,2.0
AR,H_COMP_6,2.0,2.0,-2.0,2.0,0.0,0.0,-2.0,0.0
AR,H_COMP_7,1.0,2.0,0.0,1.0,0.0,1.0,-4.0,2.0
AR,H_HSP_RATING,2.0,2.0,-1.0,2.0,-2.0,0.0,-2.0,1.0
AR,H_QUIET_HSP,0.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,-2.0
AR,H_RECMND,2.0,0.0,1.0,0.0,0.0,0.0,-3.0,2.0
AZ,H_CLEAN_HSP,0.0,-2.0,3.0,0.0,2.0,0.0,-9.0,0.0
AZ,H_COMP_1,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-2.0
AZ,H_COMP_2,-1.0,0.0,-1.0,0.0,-2.0,2.0,-4.0,1.0
AZ,H_COMP_3,0.0,-2.0,2.0,0.0,0.0,0.0,-8.0,-2.0
AZ,H_COMP_5,0.0,-2.0,2.0,1.0,0.0,-1.0,-8.0,-3.0
AZ,H_COMP_6,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0
AZ,H_COMP_7,-1.0,-1.0,2.0,2.0,-2.0,-1.0,-3.0,-1.0
AZ,H_HSP_RATING,-1.0,0.0,0.0,0.0,-1.0,1.0,-4.0,-2.0
AZ,H_QUIET_HSP,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,0.0
AZ,H_RECMND,0.0,-1.0,1.0,0.0,-1.0,0.0,-3.0,-3.0
CA,H_CLEAN_HSP,0.0,1.0,2.0,0.0,2.0,-1.0,-3.0,-2.0
CA,H_COMP_1,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,-1.0
CA,H_COMP_2,0.0,0.0,0.0,-1.0,1.0,0.0,-3.0,-2.0
CA,H_COMP_3,0.0,-1.0,2.0,2.0,0.0,0.0,-6.0,-2.0
CA,H_COMP_5,-1.0,1.0,0.0,2.0,0.0,0.0,-6.0,-3.0
CA,H_COMP_6,2.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0
CA,H_COMP_7,-1.0,1.0,0.0,0.0,2.0,0.0,-5.0,0.0
CA,H_HSP_RATING,-1.0,2.0,1.0,-1.0,1.0,0.0,-2.0,-4.0
CA,H_QUIET_HSP,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,-3.0
CA,H_RECMND,-2.0,1.0,1.0,-1.0,2.0,-1.0,-3.0,-3.0
CO,H_CLEAN_HSP,0.0,1.0,2.0,0.0,-3.0,1.0,-3.0,-1.0
CO,H_COMP_1,2.0,0.0,0.0,-1.0,3.0,0.0,-2.0,-1.0
CO,H_COMP_2,2.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-3.0
CO,H_COMP_3,1.0,1.0,2.0,-1.0,2.0,0.0,-5.0,-2.0
CO,H_COMP_5,1.0,-1.0,1.0,0.0,1.0,0.0,-4.0,-4.0
CO,H_COMP_6,0.0,2.0,0.0,-2.0,2.0,0.0,-2.0,-2.0
CO,H_COMP_7,0.0,-1.0,2.0,0.0,1.0,0.0,-2.0,0.0
CO,H_HSP_RATING,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,-3.0
CO,H_QUIET_HSP,4.0,0.0,-2.0,-1.0,2.0,1.0,-1.0,1.0
CO,H_RECMND,1.0,1.0,0.0,-2.0,2.0,0.0,-1.0,-1.0
CT,H_CLEAN_HSP,-2.0,4.0,-1.0,1.0,2.0,-2.0,-5.0,-3.0
CT,H_COMP_1,1.0,-1.0,0.0,0.0,1.0,0.0,-3.0,-2.0
CT,H_COMP_2,-1.0,-1.0,1.0,1.0,0.0,0.0,-3.0,-1.0
CT,H_COMP_3,-1.0,0.0,-1.0,2.0,0.0,0.0,-8.0,-4.0
CT,H_COMP_5,0.0,-2.0,0.0,2.0,3.0,-2.0,-7.0,-1.0
CT,H_COMP_6,2.0,0.0,0.0,2.0,0.0,0.0,-2.0,0.0
CT,H_COMP_7,1.0,0.0,0.0,1.0,2.0,-2.0,-5.0,-1.0
CT,H_HSP_RATING,-2.0,4.0,0.0,1.0,0.0,-1.0,-4.0,-3.0
CT,H_QUIET_HSP,0.0,2.0,1.0,0.0,2.0,-3.0,-2.0,-1.0
CT,H_RECMND,-1.0,0.0,2.0,0.0,1.0,-2.0,-2.0,-4.0
DC,H_CLEAN_HSP,-3.0,0.0,5.0,2.0,-2.0,4.0,-2.0,-3.0
DC,H_COMP_1,0.0,1.0,0.0,-2.0,0.0,2.0,0.0,-1.0
DC,H_COMP_2,1.0,0.0,-2.0,-1.0,0.0,2.0,1.0,0.0
DC,H_COMP_3,-2.0,0.0,-1.0,1.0,2.0,3.0,-6.0,-7.0
DC,H_COMP_5,-3.0,1.0,4.0,0.0,3.0,-1.0,-3.0,-9.0
DC,H_COMP_6,4.0,2.0,0.0,2.0,0.0,2.0,0.0,-4.0
DC,H_COMP_7,0.0,1.0,1.0,2.0,0.0,1.0,2.0,-4.0
DC,H_HSP_RATING,0.0,0.0,5.0,-2.0,-2.0,2.0,3.0,-7.0
DC,H_QUIET_HSP,0.0,-1.0,3.0,-3.0,2.0,1.0,1.0,-3.0
DC,H_RECMND,-1.0,0.0,2.0,-2.0,-1.0,2.0,2.0,-6.0
DE,H_CLEAN_HSP,1.0,2.0,1.0,-1.0,0.0,0.0,-10.0,-1.0
DE,H_COMP_1,1.0,1.0,0.0,0.0,-1.0,-1.0,-3.0,-2.0
DE,H_COMP_2,1.0,1.0,0.0,1.0,-2.0,0.0,-3.0,-3.0
DE,H_COMP_3,2.0,-1.0,2.0,0.0,-1.0,-1.0,-7.0,-6.0
DE,H_COMP_5,1.0,3.0,3.0,-4.0,0.0,0.0,-8.0,-6.0
DE,H_COMP_6,2.0,2.0,-2.0,2.0,-2.0,0.0,0.0,-4.0
DE,H_COMP_7,2.0,1.0,0.0,0.0,0.0,0.0,-6.0,-3.0
DE,H_HSP_RATING,4.0,2.0,0.0,1.0,-1.0,0.0,-4.0,-7.0
DE,H_QUIET_HSP,5.0,1.0,1.0,-1.0,1.0,0.0,-4.0,-4.0
DE,H_RECMND,2.0,1.0,1.0,-1.0,-1.0,1.0,-4.0,-6.0
FL,H_CLEAN_HSP,-1.0,1.0,0.0,1.0,1.0,0.0,-4.0,-1.0
FL,H_COMP_1,0.0,1.0,0.0,-2.0,2.0,0.0,-3.0,-1.0
FL,H_COMP_2,0.0,0.0,-1.0,-2.0,1.0,1.0,-4.0,-1.0
FL,H_COMP_3,1.0,0.0,0.0,1.0,1.0,-1.0,-8.0,-1.0
FL,H_COMP_5,2.0,-1.0,2.0,0.0,-1.0,0.0,-8.0,-3.0
FL,H_COMP_6,0.0,2.0,0.0,0.0,-2.0,2.0,-4.0,-2.0
FL,H_COMP_7,0.0,1.0,0.0,0.0,1.0,0.0,-5.0,-1.0
FL,H_HSP_RATING,1.0,0.0,1.0,-2.0,2.0,0.0,-4.0,-3.0
FL,H_QUIET_HSP,1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,-1.0
FL,H_RECMND,0.0,0.0,1.0,-1.0,0.0,1.0,-5.0,-3.0
GA,H_CLEAN_HSP,0.0,2.0,0.0,1.0,-2.0,1.0,-6.0,1.0
GA,H_COMP_1,0.0,1.0,0.0,-1.0,1.0,0.0,-3.0,0.0
GA,H_COMP_2,-1.0,1.0,-2.0,0.0,0.0,0.0,-3.0,-1.0
GA,H_COMP_3,2.0,-2.0,1.0,0.0,0.0,0.0,-6.0,0.0
GA,H_COMP_5,0.0,2.0,0.0,0.0,0.0,1.0,-9.0,0.0
GA,H_COMP_6,2.0,2.0,0.0,-2.0,0.0,0.0,-2.0,0.0
GA,H_COMP_7,1.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0
GA,H_HSP_RATING,3.0,1.0,0.0,-2.0,0.0,1.0,-3.0,0.0
GA,H_QUIET_HSP,1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0
GA,H_RECMND,2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-2.0
HI,H_CLEAN_HSP,2.0,2.0,-2.0,0.0,3.0,-2.0,-4.0,-1.0
HI,H_COMP_1,2.0,2.0,-4.0,-2.0,4.0,-1.0,-5.0,3.0
HI,H_COMP_2,1.0,1.0,-2.0,0.0,2.0,1.0,-10.0,4.0
HI,H_COMP_3,3.0,1.0,-5.0,1.0,0.0,1.0,-7.0,1.0
HI,H_COMP_5,-1.0,1.0,-7.0,1.0,9.0,-1.0,-7.0,-5.0
HI,H_COMP_6,-4.0,4.0,-2.0,4.0,-4.0,2.0,-6.0,4.0
HI,H_COMP_7,0.0,3.0,-8.0,2.0,4.0,-1.0,-6.0,-1.0
HI,H_HSP_RATING,0.0,4.0,-3.0,-2.0,2.0,0.0,-6.0,-1.0
HI,H_QUIET_HSP,3.0,2.0,-6.0,4.0,-1.0,0.0,-10.0,8.0
HI,H_RECMND,1.0,1.0,-3.0,0.0,0.0,-2.0,-4.0,-2.0
IA,H_CLEAN_HSP,-1.0,1.0,0.0,1.0,2.0,0.0,-6.0,0.0
IA,H_COMP_1,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0
IA,H_COMP_2,0.0,1.0,-1.0,0.0,1.0,0.0,-2.0,-2.0
IA,H_COMP_3,1.0,0.0,0.0,1.0,1.0,1.0,-4.0,-1.0
IA,H_COMP_5,0.0,-1.0,1.0,2.0,0.0,0.0,-3.0,-4.0
IA,H_COMP_6,0.0,2.0,0.0,0.0,0.0,-2.0,2.0,-2.0
IA,H_COMP_7,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0
IA,H_HSP_RATING,0.0,1.0,2.0,0.0,1.0,-1.0,0.0,-2.0
IA,H_QUIET_HSP,1.0,0.0,1.0,0.0,1.0,0.0,2.0,-2.0
IA,H_RECMND,-1.0,2.0,0.0,1.0,-1.0,0.0,0.0,-1.0
ID,H_CLEAN_HSP,-1.0,3.0,-1.0,2.0,-2.0,-1.0,-1.0,-2.0
ID,H_COMP_1,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0
ID,H_COMP_2,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0
ID,H_COMP_3,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0
ID,H_COMP_5,2.0,-1.0,0.0,1.0,-5.0,1.0,0.0,-2.0
ID,H_COMP_6,2.0,2.0,2.0,-4.0,0.0,2.0,-2.0,-2.0
ID,H_COMP_7,1.0,0.0,-3.0,3.0,-1.0,1.0,-2.0,1.0
ID,H_HSP_RATING,1.0,2.0,-1.0,1.0,1.0,-1.0,-1.0,0.0
ID,H_QUIET_HSP,0.0,0.0,-1.0,0.0,-1.0,0.0,4.0,1.0
ID,H_RECMND,-2.0,2.0,0.0,1.0,0.0,-2.0,0.0,-1.0
IL,H_CLEAN_HSP,1.0,2.0,0.0,0.0,0.0,0.0,-5.0,-2.0
IL,H_COMP_1,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,-2.0
IL,H_COMP_2,-1.0,1.0,-1.0,-1.0,1.0,0.0,-3.0,-2.0
IL,H_COMP_3,0.0,2.0,0.0,0.0,0.0,0.0,-7.0,-3.0
IL,H_COMP_5,1.0,0.0,0.0,2.0,0.0,0.0,-7.0,-3.0
IL,H_COMP_6,2.0,2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0
IL,H_COMP_7,0.0,1.0,0.0,0.0,1.0,-1.0,-3.0,-2.0
IL,H_HSP_RATING,1.0,1.0,0.0,-1.0,2.0,-1.0,-3.0,-3.0
IL,H_QUIET_HSP,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,-2.0
IL,H_RECMND,1.0,0.0,-1.0,0.0,1.0,-1.0,-2.0,-4.0
IN,H_CLEAN_HSP,0.0,0.0,2.0,0.0,-1.0,0.0,-5.0,0.0
IN,H_COMP_1,0.0,0.0,0.0,-1.0,-1.0,1.0,-2.0,-1.0
IN,H_COMP_2,-1.0,0.0,-1.0,-1.0,0.0,0.0,-3.0,0.0
IN,H_COMP_3,0.0,0.0,0.0,-1.0,-1.0,0.0,-5.0,-1.0
IN,H_COMP_5,-2.0,0.0,2.0,-2.0,0.0,0.0,-7.0,-2.0
IN,H_COMP_6,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,-2.0
IN,H_COMP_7,0.0,-1.0,2.0,0.0,-1.0,0.0,-2.0,-1.0
IN,H_HSP_RATING,0.0,1.0,0.0,-2.0,0.0,0.0,-2.0,-1.0
IN,H_QUIET_HSP,0.0,0.0,1.0,-3.0,0.0,0.0,2.0,-2.0
IN,H_RECMND,0.0,1.0,0.0,-1.0,-2.0,1.0,-1.0,-1.0
KS,H_CLEAN_HSP,2.0,2.0,1.0,1.0,0.0,1.0,-5.0,-1.0
KS,H_COMP_1,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0
KS,H_COMP_2,-1.0,2.0,-2.0,-1.0,0.0,1.0,-2.0,0.0
KS,H_COMP_3,1.0,2.0,2.0,1.0,0.0,-1.0,-5.0,0.0
KS,H_COMP_5,-2.0,3.0,0.0,0.0,1.0,0.0,-6.0,1.0
KS,H_COMP_6,0.0,2.0,0.0,-2.0,2.0,0.0,-2.0,-2.0
KS,H_COMP_7,0.0,1.0,1.0,0.0,1.0,0.0,-3.0,1.0
KS,H_HSP_RATING,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1.0
KS,H_QUIET_HSP,0.0,3.0,-3.0,-1.0,2.0,0.0,-1.0,1.0
KS,H_RECMND,0.0,2.0,-1.0,0.0,1.0,0.0,-2.0,-1.0
KY,H_CLEAN_HSP,-1.0,1.0,1.0,-2.0,1.0,0.0,-5.0,0.0
KY,H_COMP_1,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-2.0
KY,H_COMP_2,-1.0,1.0,-2.0,-1.0,0.0,0.0,-2.0,-3.0
KY,H_COMP_3,0.0,1.0,-1.0,0.0,-1.0,0.0,-4.0,-2.0
KY,H_COMP_5,-1.0,1.0,2.0,-2.0,-1.0,0.0,-5.0,-1.0
KY,H_COMP_6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
KY,H_COMP_7,0.0,1.0,-1.0,2.0,0.0,-1.0,-3.0,0.0
KY,H_HSP_RATING,0.0,1.0,0.0,-2.0,0.0,1.0,-2.0,-4.0
KY,H_QUIET_HSP,0.0,0.0,-2.0,-2.0,1.0,0.0,-1.0,-2.0
KY,H_RECMND,-1.0,3.0,-2.0,-1.0,0.0,0.0,-2.0,-3.0
LA,H_CLEAN_HSP,1.0,1.0,2.0,-1.0,3.0,0.0,-5.0,0.0
LA,H_COMP_1,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,-2.0
LA,H_COMP_2,1.0,0.0,-1.0,-2.0,1.0,0.0,-2.0,0.0
LA,H_COMP_3,0.0,1.0,1.0,0.0,1.0,0.0,-6.0,-1.0
LA,H_COMP_5,0.0,2.0,2.0,0.0,-1.0,0.0,-5.0,-2.0
LA,H_COMP_6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0
LA,H_COMP_7,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-2.0
LA,H_HSP_RATING,0.0,1.0,0.0,-1.0,0.0,2.0,-5.0,0.0
LA,H_QUIET_HSP,2.0,0.0,0.0,-3.0,2.0,0.0,0.0,-1.0
LA,H_RECMND,2.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-2.0
MA,H_CLEAN_HSP,-1.0,1.0,-1.0,-2.0,2.0,0.0,-4.0,-3.0
MA,H_COMP_1,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0
MA,H_COMP_2,2.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-2.0
MA,H_COMP_3,0.0,2.0,-1.0,-1.0,1.0,0.0,-5.0,-6.0
MA,H_COMP_5,0.0,1.0,-1.0,0.0,0.0,0.0,-4.0,-5.0
MA,H_COMP_6,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
MA,H_COMP_7,0.0,1.0,0.0,-2.0,1.0,0.0,-3.0,-2.0
MA,H_HSP_RATING,0.0,3.0,-1.0,0.0,0.0,1.0,-3.0,-5.0
MA,H_QUIET_HSP,2.0,-1.0,0.0,-2.0,1.0,0.0,-1.0,-3.0
MA,H_RECMND,-1.0,1.0,-1.0,-1.0,0.0,0.0,-2.0,-4.0
MD,H_CLEAN_HSP,0.5,0.5,3.0,1.0,2.0,0.0,-6.0,0.0
MD,H_COMP_1,0.0,0.0,0.0,-1.0,0.0,1.0,-2.0,-1.0
MD,H_COMP_2,-0.5,-0.5,0.0,-2.0,2.0,-1.0,-2.0,0.0
MD,H_COMP_3,0.0,0.0,1.0,-2.0,3.0,-1.0,-7.0,-1.0
MD,H_COMP_5,0.0,0.0,0.0,2.0,0.0,0.0,-7.0,-2.0
MD,H_COMP_6,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,-4.0
MD,H_COMP_7,0.0,0.0,2.0,-1.0,1.0,0.0,-3.0,-1.0
MD,H_HSP_RATING,0.0,0.0,3.0,-4.0,2.0,0.0,-2.0,-2.0
MD,H_QUIET_HSP,0.5,0.5,-2.0,-2.0,2.0,0.0,0.0,-1.0
MD,H_RECMND,-1.5,-1.5,2.0,-3.0,2.0,0.0,-2.0,-3.0
ME,H_CLEAN_HSP,-1.0,0.0,-1.0,0.0,-1.0,0.0,-4.0,-9.0
ME,H_COMP_1,0.0,0.0,0.0,1.0,1.0,1.0,-2.0,-3.0
ME,H_COMP_2,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-2.0
ME,H_COMP_3,-1.0,1.0,0.0,1.0,0.0,0.0,-4.0,-3.0
ME,H_COMP_5,-1.0,2.0,0.0,-1.0,1.0,-1.0,-4.0,-4.0
ME,H_COMP_6,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,-4.0
ME,H_COMP_7,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,-5.0
ME,H_HSP_RATING,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-5.0
ME,H_QUIET_HSP,-1.0,1.0,0.0,0.0,0.0,0.0,-3.0,-1.0
ME,H_RECMND,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-5.0
MI,H_CLEAN_HSP,1.0,0.0,2.0,0.0,0.0,0.0,-6.0,-4.0
MI,H_COMP_1,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,-3.0
MI,H_COMP_2,0.0,0.0,0.0,-2.0,1.0,-1.0,0.0,-2.0
MI,H_COMP_3,1.0,0.0,3.0,-1.0,0.0,0.0,-4.0,-4.0
MI,H_COMP_5,2.0,0.0,2.0,0.0,1.0,0.0,-5.0,-5.0
MI,H_COMP_6,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0
MI,H_COMP_7,1.0,-1.0,2.0,0.0,1.0,0.0,-2.0,-3.0
MI,H_HSP_RATING,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,-5.0
MI,H_QUIET_HSP,1.0,0.0,-2.0,-1.0,1.0,-1.0,2.0,-3.0
MI,H_RECMND,1.0,1.0,0.0,-2.0,1.0,0.0,-2.0,-3.0
MN,H_CLEAN_HSP,1.0,0.0,0.0,1.0,-1.0,1.0,-5.0,-2.0
MN,H_COMP_1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0
MN,H_COMP_2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
MN,H_COMP_3,3.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-2.0
MN,H_COMP_5,1.0,2.0,-1.0,1.0,1.0,0.0,-2.0,-4.0
MN,H_COMP_6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0
MN,H_COMP_7,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0
MN,H_HSP_RATING,3.0,1.0,0.0,1.0,-1.0,1.0,1.0,-3.0
MN,H_QUIET_HSP,1.0,0.0,-1.0,2.0,1.0,0.0,1.0,-2.0
MN,H_RECMND,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,-2.0
MO,H_CLEAN_HSP,1.0,-1.0,3.0,1.0,-2.0,1.0,-5.0,-1.0
MO,H_COMP_1,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,-2.0
MO,H_COMP_2,0.0,0.0,0.0,-1.0,-1.0,1.0,-2.0,-1.0
MO,H_COMP_3,0.0,0.0,1.0,1.0,-1.0,1.0,-5.0,-2.0
MO,H_COMP_5,-2.0,-1.0,3.0,-1.0,1.0,0.0,-7.0,0.0
MO,H_COMP_6,0.0,0.0,2.0,-4.0,4.0,0.0,-2.0,-2.0
MO,H_COMP_7,-2.0,0.0,3.0,-1.0,1.0,0.0,-3.0,-1.0
MO,H_HSP_RATING,0.0,0.0,2.0,-2.0,1.0,0.0,-2.0,-2.0
MO,H_QUIET_HSP,1.0,-1.0,0.0,-3.0,0.0,1.0,1.0,0.0
MO,H_RECMND,-2.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-2.0
MS,H_CLEAN_HSP,-1.0,1.0,2.0,0.0,0.0,1.0,-4.0,-1.0
MS,H_COMP_1,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0
MS,H_COMP_2,-2.0,2.0,0.0,-2.0,-1.0,1.0,-2.0,1.0
